                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6976,                 0.6047,                0.90073,                0.87226,                0.86769,                0.91053,                0.78953,                0.60106,                  0.518,                0.85266,               0.006535,               0.006535,               0.006535
                     37,                0.69696,                0.60379,                 0.9029,                0.86523,                0.85195,                0.90516,                0.78527,                0.60357,                0.52397,                0.85311,               0.006436,               0.006436,               0.006436
                     38,                0.68828,                0.59076,                0.89678,                0.85576,                0.85299,                0.90856,                0.78389,                0.59949,                 0.5148,                0.85138,               0.006337,               0.006337,               0.006337
                     39,                0.68403,                0.58539,                 0.8959,                0.87739,                0.85894,                0.91385,                0.79042,                0.58927,                0.51278,                0.84278,               0.006238,               0.006238,               0.006238
                     40,                0.67843,                0.58282,                0.89576,                0.88254,                0.84508,                0.91769,                0.80126,                0.58305,                0.50566,                0.84739,               0.006139,               0.006139,               0.006139
                     41,                0.67328,                0.57653,                0.89251,                0.87685,                0.87929,                0.92382,                0.80134,                0.57897,                0.49556,                0.84454,                0.00604,                0.00604,                0.00604
                     42,                0.66894,                0.57594,                0.89349,                0.86803,                0.86073,                0.91217,                0.78929,                0.59074,                0.50464,                0.84815,               0.005941,               0.005941,               0.005941
                     43,                 0.6654,                0.57253,                0.89156,                0.87572,                0.87818,                0.92075,                0.79819,                0.58311,                0.48603,                0.84825,               0.005842,               0.005842,               0.005842
                     44,                  0.659,                0.56331,                0.89071,                0.85571,                0.86639,                0.91504,                 0.7951,                0.57395,                0.49466,                0.84546,               0.005743,               0.005743,               0.005743
                     45,                0.65753,                0.56416,                0.88615,                0.86718,                0.88363,                0.91817,                0.80055,                0.56978,                0.48528,                0.84531,               0.005644,               0.005644,               0.005644
                     46,                 0.6541,                0.55986,                0.88869,                0.89007,                0.87754,                0.92709,                  0.807,                0.58049,                 0.4814,                0.84406,               0.005545,               0.005545,               0.005545
                     47,                0.64536,                0.55659,                0.88465,                0.89165,                0.86338,                0.92389,                0.80694,                0.56318,                0.47397,                0.84015,               0.005446,               0.005446,               0.005446
                     48,                0.64381,                0.55142,                0.88248,                0.89882,                0.86276,                0.92237,                0.80628,                0.56119,                0.47829,                0.83845,               0.005347,               0.005347,               0.005347
                     49,                0.64187,                0.54955,                0.88179,                0.88009,                0.86888,                0.92733,                0.81319,                0.56268,                 0.4719,                0.83968,               0.005248,               0.005248,               0.005248
                     50,                0.63852,                0.54758,                0.88165,                0.88065,                0.88766,                0.93331,                0.82066,                0.55492,                0.46214,                0.83463,               0.005149,               0.005149,               0.005149
                     51,                0.63517,                0.54104,                0.88056,                0.89166,                 0.8688,                0.92738,                0.81009,                0.56283,                0.46947,                0.83597,                0.00505,                0.00505,                0.00505
                     52,                 0.6327,                0.54121,                 0.8777,                0.88169,                0.88111,                0.92911,                0.81776,                0.55228,                 0.4646,                0.83552,               0.004951,               0.004951,               0.004951
                     53,                0.62364,                0.53199,                0.87685,                0.89303,                0.86431,                0.92563,                0.81555,                0.55368,                0.46577,                0.83348,               0.004852,               0.004852,               0.004852
                     54,                0.62752,                0.53215,                0.87895,                0.86316,                0.89503,                0.92804,                0.81477,                0.55365,                0.46885,                0.83618,               0.004753,               0.004753,               0.004753
                     55,                 0.6194,                0.52814,                0.87886,                0.87428,                0.88825,                0.93121,                0.81925,                0.54844,                0.46679,                0.83558,               0.004654,               0.004654,               0.004654
                     56,                0.62028,                 0.5285,                0.87527,                0.87865,                0.88238,                0.93035,                0.81845,                0.55057,                0.45552,                0.83531,               0.004555,               0.004555,               0.004555
                     57,                0.61246,                0.52104,                0.87507,                0.86615,                 0.8848,                0.92703,                0.81936,                0.54134,                0.45383,                0.83409,               0.004456,               0.004456,               0.004456
                     58,                0.61255,                0.51968,                 0.8752,                0.87442,                0.89335,                0.93252,                0.82191,                0.54565,                0.45276,                0.83333,               0.004357,               0.004357,               0.004357
