                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.2163,                 3.9665,                 3.7665,                0.68832,                0.01974,                 0.0061,                 0.0015,                 3.8843,                 3.9322,                 3.1996,               0.070132,              0.0033187,              0.0033187
                      1,                 3.1267,                 2.4863,                 2.7448,                0.40636,                0.16772,                0.11109,                 0.0394,                 2.7222,                  2.164,                 2.4362,                0.04011,              0.0066301,              0.0066301
                      2,                 2.2228,                 1.8283,                 1.9774,                0.51402,                 0.2318,                0.23457,                0.09959,                 2.1154,                 1.7055,                 1.7862,               0.010066,              0.0099195,              0.0099195
                      3,                 1.7916,                 1.5315,                 1.5615,                0.43537,                0.24558,                0.16436,                0.08579,                 2.1359,                 2.3152,                 1.8817,               0.009901,               0.009901,               0.009901
                      4,                 1.5375,                 1.3401,                 1.3499,                0.57221,                0.26437,                0.21065,                0.12298,                 2.2668,                  2.814,                 2.0041,               0.009901,               0.009901,               0.009901
                      5,                 1.3909,                 1.2145,                 1.2339,                0.52488,                0.59858,                0.62418,                0.39289,                 1.2162,                 1.0548,                 1.1272,               0.009868,               0.009868,               0.009868
                      6,                 1.2919,                 1.1307,                 1.1647,                0.68316,                0.59967,                0.67175,                 0.4534,                 1.1499,                0.96697,                  1.073,               0.009835,               0.009835,               0.009835
                      7,                 1.2083,                 1.0654,                 1.1153,                0.61245,                0.67894,                0.71174,                 0.5019,                 1.0359,                0.92636,                 1.0221,               0.009802,               0.009802,               0.009802
                      8,                 1.1461,                 1.0139,                 1.0816,                0.63374,                0.71089,                0.72179,                0.52033,                 1.0113,                0.88782,                 1.0055,               0.009769,               0.009769,               0.009769
                      9,                 1.0946,                0.96364,                 1.0503,                0.71995,                0.65327,                0.72647,                 0.5348,                 1.0058,                0.85318,                 1.0033,               0.009736,               0.009736,               0.009736
                     10,                 1.0609,                  0.929,                 1.0301,                0.78533,                0.70335,                0.78915,                0.57245,                0.96788,                0.80847,                0.97819,               0.009703,               0.009703,               0.009703
                     11,                 1.0221,                0.90118,                 1.0145,                0.78742,                0.71762,                0.80974,                0.61452,                0.88258,                0.76806,                 0.9497,                0.00967,                0.00967,                0.00967
                     12,                0.99782,                 0.8714,                 1.0013,                0.79469,                0.77953,                0.84077,                0.64412,                0.85935,                0.73725,                0.93461,               0.009637,               0.009637,               0.009637
                     13,                0.96877,                0.84308,                0.98998,                0.77299,                0.80791,                0.84083,                0.64659,                0.85503,                0.72583,                  0.929,               0.009604,               0.009604,               0.009604
                     14,                0.94469,                0.82522,                 0.9798,                 0.7864,                0.79001,                0.86093,                0.67788,                0.80995,                0.69808,                0.92201,               0.009571,               0.009571,               0.009571
                     15,                0.91835,                0.79991,                0.97489,                0.85221,                0.80934,                0.87411,                0.69553,                0.81273,                0.67693,                0.91554,               0.009538,               0.009538,               0.009538
                     16,                0.90861,                0.79051,                0.96838,                0.80176,                0.79138,                0.85874,                 0.6921,                0.79185,                 0.6687,                0.91301,               0.009505,               0.009505,               0.009505
                     17,                0.88568,                0.76996,                0.95998,                0.81734,                0.79908,                0.86181,                0.69684,                0.78524,                0.66347,                0.90522,               0.009472,               0.009472,               0.009472
                     18,                 0.8679,                0.75386,                0.95604,                0.82157,                 0.8176,                0.87425,                0.71029,                0.75189,                0.63287,                0.90691,               0.009439,               0.009439,               0.009439
                     19,                0.85088,                0.73886,                0.94916,                0.84486,                0.80437,                0.87952,                0.71683,                 0.7757,                0.63089,                0.90248,               0.009406,               0.009406,               0.009406
                     20,                0.83595,                0.72484,                0.94451,                0.82257,                  0.823,                0.88053,                0.71519,                0.73594,                0.62433,                0.90073,               0.009373,               0.009373,               0.009373
                     21,                0.83095,                0.71866,                0.94111,                0.84471,                0.81028,                0.87715,                0.71482,                0.74295,                0.61596,                0.89541,                0.00934,                0.00934,                0.00934
                     22,                0.81654,                0.70068,                0.93463,                0.84108,                0.81935,                0.87804,                0.73043,                0.69102,                0.60874,                0.88519,               0.009307,               0.009307,               0.009307
                     23,                0.80445,                0.69308,                 0.9326,                0.86577,                0.81734,                0.88882,                0.74534,                0.68324,                0.58276,                0.88403,               0.009274,               0.009274,               0.009274
                     24,                0.79689,                 0.6901,                0.92929,                 0.8454,                0.82124,                 0.8945,                0.74449,                0.69583,                0.58447,                0.88823,               0.009241,               0.009241,               0.009241
                     25,                 0.7784,                0.67332,                0.92475,                0.87538,                0.80948,                 0.8978,                0.75144,                0.68554,                0.57128,                0.88126,               0.009208,               0.009208,               0.009208
                     26,                0.77012,                0.66536,                 0.9198,                 0.8636,                 0.8392,                0.89466,                0.75916,                0.65581,                0.56172,                0.87302,               0.009175,               0.009175,               0.009175
                     27,                0.76646,                0.65994,                0.92073,                0.85471,                 0.8117,                0.89423,                0.75305,                0.65746,                0.55712,                0.87596,               0.009142,               0.009142,               0.009142
                     28,                0.75898,                0.65584,                0.91666,                0.84214,                0.81732,                0.88259,                0.73137,                 0.6981,                0.57824,                0.87189,               0.009109,               0.009109,               0.009109
                     29,                0.75552,                0.64774,                0.91422,                0.86163,                0.85292,                0.90591,                0.77365,                0.63547,                0.54416,                0.86995,               0.009076,               0.009076,               0.009076
                     30,                0.74585,                 0.6424,                0.91496,                0.85401,                0.84568,                0.90677,                0.77516,                0.62804,                0.53348,                0.86381,               0.009043,               0.009043,               0.009043
                     31,                0.74017,                0.63472,                0.91033,                0.86056,                0.83123,                0.91086,                0.77581,                0.62147,                0.53127,                0.86397,                0.00901,                0.00901,                0.00901
                     32,                0.72686,                0.62413,                0.90977,                0.89186,                0.82916,                0.91242,                0.78041,                0.61991,                0.52826,                0.86178,               0.008977,               0.008977,               0.008977
                     33,                0.72836,                0.62332,                0.90754,                0.88274,                0.83878,                0.91112,                 0.7786,                0.60977,                0.52562,                0.85493,               0.008944,               0.008944,               0.008944
